,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1264,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential High-Density,34,4060sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Townhouse End Unit,One story,6,5,1998,1999,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,266,Unfinished,0,1139,1405,Gas forced warm air furnace,Excellent,Yes,SBrkr,1337,0,0square feet,1337,2,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,1998.0,Fin,2,511square feet,Typical/Average,TA,Paved,144square feet,68square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2008,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",181000
1265,2-STORY PUD - 1946 & NEWER,Floating Village Residential,35,3735sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 3 sides of the property,Gentle slope,Somerst,Normal,Townhouse End Unit,Two-story,7,5,1999,1999,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,218squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,450,Unfinished,0,241,691,Gas forced warm air furnace,Excellent,Yes,SBrkr,713,739,0square feet,1452,2,1,3,1,Good,6,Typical Functionality,0,No,Detached from home,1999.0,Unf,2,506square feet,Typical/Average,TA,Paved,0square feet,34square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Warranty Deed - Conventional,Normal Sale,183900
1266,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,60,10120sqare feet,Paved,Slightly irregular,Banked - Quick and significant rise from street grade to building,AllPub,Inside,Gentle slope,OldTown,Adjacent to feeder street&Normal,2fmCon,Two and one-half story: 2nd level unfinished,7,4,1910,1950,Hip,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Fair&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,925,925,Gas forced warm air furnace,Average/Typical,No,FuseF,964,925,0square feet,1889,1,1,4,2,Typical/Average,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1960.0,Unf,1,308square feet,Typical/Average,TA,Dirt/Gravel,0square feet,0square feet,264square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jan&2007,Warranty Deed - Conventional,Normal Sale,122000
1267,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,89,13214sqare feet,Paved,Slightly irregular,Hillside - Significant slope from side to side,AllPub,Inside,Gentle slope,Timber,Normal,Single-family Detached,One story,9,5,2008,2009,Hip,Standard (Composite) Shingle,Stucco&CmentBd,,0squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Good Exposure,Unf,0,Unfinished,0,2002,2002,Gas forced warm air furnace,Excellent,Yes,SBrkr,2018,0,0square feet,2018,2,0,3,1,Excellent,10,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2009.0,Fin,3,746square feet,Typical/Average,TA,Paved,144square feet,76square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,378500
1268,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,14100sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Moderate Slope,Crawfor,Normal,Single-family Detached,One and one-half story: 2nd level finished,8,9,1935,1997,Gable,Standard (Composite) Shingle,Stucco,Brick Face,632squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,Rec,192,Unfinished,0,536,728,Gas forced warm air furnace,Excellent,Yes,SBrkr,1968,1479,0square feet,3447,3,1,4,1,Good,11,Typical Functionality,2,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),1982.0,Unf,3,1014square feet,Typical/Average,TA,Paved,314square feet,12square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,381000
1269,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,78,11344sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Adjacent to feeder street&Normal,Single-family Detached,One and one-half story: 2nd level finished,5,5,1958,1958,Gable,Standard (Composite) Shingle,Metal Siding,Brick Face,180squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,460,Unfinished,0,414,874,Gas hot water or steam heat,Average/Typical,Yes,FuseA,874,650,0square feet,1524,1,1,3,1,Typical/Average,7,Typical Functionality,0,No,Attached to the home,1958.0,Unf,1,315square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,144000
1270,1-STORY W/FINISHED ATTIC ALL AGES,Residential Low-Density,0,23595sqare feet,Paved,Regular,Depression,AllPub,Inside,Severe Slope,ClearCr,Normal,Single-family Detached,One story,7,6,1979,1979,Shed,Wood Shakes,Plywood,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,GLQ,1258,Unfinished,0,74,1332,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1332,192,0square feet,1524,0,1,0,1,Good,4,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1979.0,Fin,2,586square feet,Typical/Average,TA,Paved,268square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2010,Warranty Deed - Conventional,Normal Sale,260000
1271,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9156sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,"Near positive off-site feature--park, greenbelt, etc&Normal",Single-family Detached,One story,6,7,1968,1968,Hip,Standard (Composite) Shingle,Brick Face,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1489,1489,Gas forced warm air furnace,Good,Yes,SBrkr,1489,0,0square feet,1489,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1968.0,RFn,2,462square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2009,Warranty Deed - Conventional,Normal Sale,185750
1272,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,13526sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,6,1965,1965,Hip,Standard (Composite) Shingle,Hard Board&Plywood,Brick Face,114squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,560,Low Quality,375,0,935,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,935,0,0square feet,935,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1965.0,Unf,1,288square feet,Typical/Average,TA,Paved,180square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Nov&2006,Warranty Deed - Conventional,Normal Sale,137000
1273,SPLIT OR MULTI-LEVEL,Residential Low-Density,124,11512sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Edwards,Normal,Single-family Detached,Split Level,6,7,1959,2006,Gable,Standard (Composite) Shingle,Plywood,Brick Face,84squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),ALQ,719,Unfinished,0,300,1019,Gas forced warm air furnace,Good,Yes,SBrkr,1357,0,0square feet,1357,1,0,2,1,Excellent,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Basement Garage,1959.0,RFn,1,312square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,163square feet,0square feet,No,Good Privacy,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,177000
1274,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,53,5362sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Crawfor,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,6,1910,2003,Gable,Standard (Composite) Shingle,Wood Siding&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,661,661,Gas forced warm air furnace,Excellent,Yes,SBrkr,661,589,0square feet,1250,2,0,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1985.0,Unf,2,552square feet,Typical/Average,TA,Paved,242square feet,0square feet,81square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2007,Warranty Deed - Conventional,Normal Sale,139000
1275,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,95,11345sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Adjacent to feeder street&Normal,Duplex,Two-story,5,5,1948,1950,Gable,Roll,Asbestos Shingles,Stone ,567squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,220,Unfinished,0,708,928,Gas forced warm air furnace,Good,Yes,FuseA,928,992,0square feet,1920,2,0,4,2,Typical/Average,10,Typical Functionality,0,No,Detached from home,1948.0,Unf,2,400square feet,Typical/Average,Fa,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,137000
1276,2-STORY 1946 & NEWER,Residential Low-Density,0,12936sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,NWAmes,Normal,Single-family Detached,Two-story,6,6,1972,1972,Gable,Standard (Composite) Shingle,Hard Board&Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Good& No Exposure,BLQ,593,Unfinished,0,130,723,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,735,660,0square feet,1395,1,1,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1972.0,Unf,2,497square feet,Typical/Average,TA,Paved,294square feet,116square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Dec&2009,Warranty Deed - Conventional,Normal Sale,162000
1277,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,17871sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,NWAmes,Normal,Single-family Detached,Split Level,6,5,1967,1976,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,359squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),ALQ,528,Unfinished,0,1152,1680,Gas forced warm air furnace,Fair,Yes,SBrkr,1724,0,0square feet,1724,1,1,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1967.0,RFn,2,480square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,197900
1278,2-STORY 1946 & NEWER,Residential Low-Density,75,9473sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,8,5,2002,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,804,Unfinished,0,324,1128,Gas forced warm air furnace,Excellent,Yes,SBrkr,1128,903,0square feet,2031,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2002.0,RFn,2,577square feet,Typical/Average,TA,Paved,0square feet,211square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2008,Warranty Deed - Conventional,Normal Sale,237000
1279,1-1/2 STORY FINISHED ALL AGES,C (all),60,7500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,IDOTRR,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,4,1920,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,698,698,Gas forced warm air furnace,Average/Typical,Yes,FuseA,698,430,0square feet,1128,1,0,2,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1980.0,RFn,2,528square feet,Typical/Average,TA,Paved,30square feet,0square feet,164square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2010,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",68400
1280,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,67,9808sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,2002,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,110squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,788,Unfinished,0,785,1573,Gas forced warm air furnace,Excellent,Yes,SBrkr,1573,0,0square feet,1573,2,0,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2002.0,RFn,2,544square feet,Typical/Average,TA,Paved,0square feet,72square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2009,Warranty Deed - Conventional,Normal Sale,227000
1281,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,50,8049sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Timber,Normal,Single-family Detached,One story,7,5,1990,1990,Hip,Standard (Composite) Shingle,Hard Board,Brick Face,54squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,ALQ,1053,Unfinished,0,256,1309,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1339,0,0square feet,1339,2,0,2,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1990.0,Fin,2,484square feet,Good,Gd,Paved,0square feet,58square feet,0square feet,0square feet,90square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,180000
1282,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,61,8800sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,5,7,1977,2008,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,LwQ,532,Average Rec Room,144,364,1040,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1040,0,0square feet,1040,2,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1977.0,Unf,2,484square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,288square feet,0square feet,No,No,No,0,Sep&2009,Warranty Deed - Conventional,Normal Sale,150500
1283,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,94,9400sqare feet,Paved,Regular,Depression,AllPub,Corner,Gentle slope,Mitchel,Normal,Duplex,Two-story,6,5,1971,1971,Mansard,Standard (Composite) Shingle,Metal Siding&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,912,912,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,912,912,0square feet,1824,2,2,4,2,Typical/Average,8,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Paved,128square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2010,Warranty Deed - Conventional,Normal Sale,139000
1284,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,50,9638sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,SWISU,Adjacent to feeder street&Normal,Single-family Detached,One and one-half story: 2nd level finished,6,7,1919,1990,Gable,Standard (Composite) Shingle,Wood Siding&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,804,804,Gas forced warm air furnace,Excellent,Yes,SBrkr,1699,748,0square feet,2447,2,0,4,1,Good,10, Minor Deductions 2,1,Good - Masonry Fireplace on the main level,Detached from home,1969.0,Unf,1,336square feet,Typical/Average,TA,Paved,272square feet,0square feet,42square feet,0square feet,116square feet,0square feet,No,No,No,0,Mar&2010,Warranty Deed - Conventional,Normal Sale,169000
1285,1-1/2 STORY FINISHED ALL AGES,RM,50,6000sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,BrkSide,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,6,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,780,780,Gas forced warm air furnace,Excellent,Yes,FuseF,825,587,0square feet,1412,1,0,4,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1939.0,Unf,1,280square feet,Typical/Average,TA,Paved,45square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2009,Warranty Deed - Conventional,Normal Sale,132500
1286,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9790sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,Adjacent to feeder street&Normal,Single-family Detached,One story,6,5,1963,1963,Hip,Standard (Composite) Shingle,Hard Board,Brick Face,451squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,569,Average Rec Room,81,678,1328,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1328,0,0square feet,1328,1,1,3,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1963.0,Unf,2,528square feet,Typical/Average,TA,Paved,0square feet,26square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2010,Warranty Deed - Conventional,Normal Sale,143000
